Sum of EPEST_HIGH_KG,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,"2,4-D",ACEPHATE,ACETAMIPRID,ACETOCHLOR,ATRAZINE,AZOXYSTROBIN,BENTAZONE,BENZOVINDIFLUPYR,BOSCALID,BROMACIL,BROMOXYNIL,CARBARYL,CHLORANTRANILIPROLE,CHLORIMURON,CHLORPYRIFOS,CLOTHIANIDIN,CYANTRANILIPROLE,CYPRODINIL,DIAZINON,DICAMBA,DICROTOPHOS,DIFLUBENZURON,DIMETHENAMID,DIMETHENAMID & DIMETHENAMID-P,DIMETHENAMID-P,DIMETHOATE,DIMETHOMORPH,DINOTEFURAN,DIURON,ETHOPROPHOS,ETOXAZOLE,FIPRONIL,FLUOMETURON,FLUOPICOLIDE,GLYPHOSATE,HALOSULFURON,HEXAZINONE,IMAZETHAPYR,IMIDACLOPRID,LINURON,MALATHION,METALAXYL,METCONAZOLE,METHOMYL,METHOXYFENOZIDE,METOLACHLOR,METOLACHLOR & METOLACHLOR-S,METOLACHLOR-S,METRIBUZIN,MYCLOBUTANIL,ORYZALIN,PERMETHRIN,PIPERONYL BUTOXIDE,PROPAZINE,PROPICONAZOLE,PYRACLOSTROBIN,PYRIMETHANIL,SIMAZINE,SULFENTRAZONE,SULFOXAFLOR,TEBUCONAZOLE,TEBUPIRIMPHOS,TEBUTHIURON,TERBUFOS,TETRACONAZOLE,THIAMETHOXAM,THIOBENCARB,TRICLOPYR,TRIFLOXYSTROBIN,Grand Total
143,180518.4,94513.9,52.5,254630.8,242797,13774.1,8179.5,989.6,3859.6,,2939.9,1063.3,1142,1026.6,15013.6,35.5,6.3,47.5,,202956.7,4445.9,6.3,7156.6,91844.6,84687.9,938.5,,3.4,5066.3,,,,25005,40.4,982279.8,497.4,639.5,2852.6,3273.3,2285,813.3,0.1,916.3,234.6,1514.8,61896.5,267687.9,205791.2,25888.9,24,,2573.4,,422.4,12939.3,6616.4,,23467.9,13486.4,1342.1,3062.1,1350.1,,7215.4,1163.6,2092.9,6071.8,1641.8,3653,2886435.5
145,142540.8,24332.3,6.9,210504.3,311491.3,10051.2,9072.2,1337.2,3791.4,,6637,303.3,583.2,776,22243.7,80.5,1.1,5.7,,119128.5,45.1,149.4,6289.4,68993.3,62704,4775.4,,2,809.1,,,,215.2,18.4,939213.7,249.8,760.1,2264.8,1082.2,2371.8,42.9,54.5,1114.9,3239.5,633.7,60061.8,341022.5,280960.8,18070.1,11,,2820.5,,997.8,9591.1,5868.6,35.8,16081.3,9129.9,106.4,4987.2,1031.7,0.6,5829.9,591.9,575.4,5402.3,7086.8,4230.9,2732410.1
147,185513.2,80197.3,14.7,298327,333943,11940.2,6011.2,1351.2,92.1,,3247.9,1857.8,1241.6,1187.4,18772.2,47.7,28.6,38.2,,134554.9,852.7,447,14187.3,58790.9,44603.7,2576.6,,0.8,3792,,,,325.4,29.8,1135859.1,653.8,434.2,3912.4,2284.6,2162.2,501.9,1.4,1674.2,1359.8,2158.3,76451.7,383943.6,307491.6,25911.9,16,,2903.4,,444.8,12817.8,9331.8,10.2,27242.3,19048.2,97.8,5421.4,2074,49.3,7198.2,1454.7,706.2,9314.2,3004.1,4408.7,3254316.2
149,130829.5,29567.9,23,259877.3,281445,6880,8787.5,845.5,2352.9,,2302.4,1419.3,220.9,554.6,25201.4,33.6,7.3,21.1,,77002.2,709.2,7.6,15132.5,54923.9,39791.4,1477.7,,4.5,4530.6,,39.8,,2526.5,2.2,781267.9,50.4,1195.5,2598.1,2160.1,3091,132.1,645.9,652.2,311.9,755.3,46632.8,263644.4,217011.7,15440.6,10.8,1,2592.8,,113.7,6493.7,5191.4,468.2,26513.2,14520.1,476.8,4085.4,2175.6,16.2,9726.3,1486.7,557.4,,1974.2,2995.7,2361506.4
151,210914.8,88903.7,12.4,249128.2,235868.5,11054.7,14584.4,1260.1,1749.2,,9075.4,513.6,1304.2,1148,27083.8,30.1,0.6,27.8,,144959.8,3822,76.8,9231.3,58120,48888.9,2938.4,,1.6,1142.8,,62.6,,834.2,11.7,976301.7,517,885.4,2562.5,2748.7,1611.3,1952.1,1.4,864.1,5347.3,717.9,58915.7,351769.3,292853.2,34329.2,26.2,,2220.7,,619.4,12085.4,4898.4,1.2,15373.6,15364.6,209.9,8398.4,1677.4,0.9,6387.4,987.1,939.8,1191.5,2166.7,3883.3,2930558.3
153,194105,5386.5,44.3,160303,133591.5,4565.1,3493.7,563.6,1759.4,,3982.6,787.6,321,248.9,8048.6,194.3,4.8,24.9,,139571,1690.6,56.1,5138.9,67258.4,62119.5,3564.8,,47.6,19225.9,,148.5,,6971.6,3.2,605661.6,243.2,598,1022.9,757.8,1301.9,1958.6,73.7,562.1,87.7,185.4,67718.3,175835.5,108117.4,6658.4,23.7,,1537.9,,671.5,4662.7,3209.4,68.7,10270.4,6004.7,332.3,3758.5,207.7,9.4,2518.1,315.6,388.4,,1860,2107.8,1831950.2
155,155825.6,65569.4,38.3,245619.2,310605.6,15404.3,7226.5,1392.3,485.1,,6889.5,399.6,1104.5,1209.7,29390.7,64.5,11.5,29.4,,154151.3,4290.5,746.5,10329.3,84634,74304.6,1683.5,4.7,13.5,7907.6,,6.5,,7123.6,4.7,1023914.5,231.7,800.2,3087.5,3602.7,2592.5,834.9,20.1,941.3,12669.8,964.4,66856.4,356125.9,289269.3,16679.8,9.4,0.9,3233.2,,557.5,14889.4,7529.4,15.5,26171.7,16425.1,1146.6,9261.3,916.7,0.5,9357.1,1564.3,1516.6,10633.2,1722.6,4435.9,3074443.9
157,111018.3,71902.5,87.6,189386.8,215367.7,7718.6,22404.8,938,1698.7,,5265,1962.1,1473.5,903,15932.2,201.1,2.1,36.3,,128065.6,7405.7,1.3,12892.5,61582.7,48690.3,2986.8,,126.7,567.6,,36.4,,4168.2,13.6,838182.6,178.2,136.8,2241,2250.3,1989.4,1769.5,26.1,1424.1,143.7,409.6,64914.9,283136.5,218221.6,19132.1,15.7,,2600.9,,198.7,6931.8,5747,23.2,26232.3,13671.6,694.7,4012.3,734.4,,5872.9,564.1,827.7,,3839.1,4357.3,2423315.8
159,130506.3,37912.5,378.3,173820.5,226717.3,5133.1,3612.8,849.1,2327.9,,3840.5,1297.8,402.4,636.9,17744.9,194.8,21.3,491.3,,68552.3,82.2,141,7235,27476.3,20241.3,1343.6,17.1,5.9,1266,,,,97.4,9.9,624574.9,45.4,164.3,1798.2,1235.2,1905.3,889.5,29.3,1423,352.4,604.9,40061,196062.5,156001.7,12288.3,19.9,48,2604.1,,828.4,5250.8,5255.4,13.6,17293.5,9158.4,68.2,3036.1,736.3,1.4,5812.6,604.2,595.6,,2273.8,3616.4,1827008.3
161,93618.6,22383.3,34.6,168009.8,156785.5,7752.3,6684.1,983.7,353.2,,992.3,1188,212.2,360,12107.5,70.6,23.8,32.5,,60462.8,1759.3,125.8,13760.6,39955.1,26194.6,1447.5,1.6,7.3,2392.5,,17.4,,4119,5.8,623992.9,136.1,210.7,2299.5,1071,1488.5,136.6,19.2,537.9,14,197.2,36854.4,198233.1,161379.3,15935.7,26.2,,1717.6,,99.9,5625.3,3342.9,27.3,14142.3,7986.5,225.7,3371.1,1201.6,40.5,5482.3,730.2,533.8,,1964.6,1415.3,1712280.5
