County,FIPS,Cancer Incidence Rate Per 100k,Insecticide Sum,Herbicide Sum,Fungicide Sum,Adjuvant Sum
"Marshall County, West Virginia(6)",54051,452.4,232.09999999999997,834.2,9.700000000000001,0.0
"St. John the Baptist Parish, Louisiana(7)",22095,452.4,59.900000000000006,21054.2,34.7,0.0
"Hoke County, North Carolina(6)",37093,452.3,2649.4,44173.89999999999,870.0000000000001,0.0
"Douglas County, Washington(6)",53017,452.3,10202.800000000001,117091.1,8045.100000000001,0.0
"Nolan County, Texas(7)",48353,452.2,3203.0,77350.2,924.1,0.0
"Greenville County, South Carolina(6)",45045,452.1,230.29999999999998,9147.9,149.39999999999998,0.0
"Lafayette County, Florida(6)",12067,452.0,1811.4999999999998,18895.6,2448.2000000000003,0.0
"Butler County, Ohio(6)",39017,452.0,1637.4000000000003,132182.6,1303.4,0.0
"Walsh County, North Dakota(6)",38099,451.9,20461.1,394762.30000000005,25130.0,0.0
"Ellis County, Texas(7)",48139,451.9,16445.1,170482.80000000002,1351.7,0.0
"Turner County, South Dakota(6)",46125,451.8,1957.4,180915.7,1125.6999999999998,0.0
"Clay County, Missouri(6)",29047,451.8,895.3,59301.799999999996,329.7,0.0
"Lincoln County, Mississippi(6)",28085,451.8,180.10000000000005,8039.3,26.700000000000003,0.0
"Trinity County, Texas(7)",48455,451.8,5.300000000000001,7610.0,2.8000000000000003,0.0
"Logan County, Ohio(6)",39091,451.7,1715.2,120112.50000000001,1202.0,0.0
"Hardin County, Illinois(7)",17069,451.7,71.7,8474.9,93.0,0.0
"Holt County, Missouri(6)",29087,451.6,4362.200000000001,290562.39999999997,1514.1000000000001,0.0
"Liberty County, Florida(6)",12077,451.6,1443.1,5003.3,772.1999999999999,0.0
"Spartanburg County, South Carolina(6)",45083,451.5,621.6999999999999,19496.600000000002,542.6,0.0
"Golden Valley County, North Dakota(6)",38033,451.5,1101.7000000000003,106738.1,2271.1,0.0
"Columbia County, Wisconsin(6)",55021,451.4,2719.9999999999995,204961.99999999997,2236.2000000000003,0.0
"Alfalfa County, Oklahoma(6)",40003,451.4,14693.200000000003,169599.00000000003,10521.6,0.0
"Caledonia County, Vermont(6)",50005,451.3,255.4,4930.9,89.2,0.0
"Taylor County, Texas(7)",48441,451.2,1403.9,51857.2,1020.3,0.0
"Tom Green County, Texas(7)",48451,451.2,9590.7,225409.09999999998,691.1999999999999,0.0
"Glynn County, Georgia(7)",13127,451.1,0.0,119.69999999999999,0.0,0.0
"Barton County, Missouri(6)",29011,451.1,5368.900000000001,254100.80000000002,3668.2000000000003,0.0
"Hamilton County, Tennessee(6)",47065,451.0,32.7,2296.5,36.7,0.0
"Fairfield County, Ohio(6)",39045,451.0,2942.6,119186.70000000003,2175.1,0.0
"Washington County, Oklahoma(6)",40147,450.9,952.6000000000001,22760.100000000002,345.4,0.0
"Orange County, North Carolina(6)",37135,450.8,592.1000000000001,6506.400000000001,273.2,0.0
"Charlotte County, Florida(6)",12015,450.8,2651.2999999999997,12352.0,714.6,0.0
"Warren County, Iowa(7)",19181,450.8,3073.9,155753.1,877.5,0.0
"Lafayette County, Missouri(6)",29107,450.7,4995.400000000001,292139.49999999994,3143.3999999999996,0.0
"Clay County, Tennessee(6)",47027,450.7,271.79999999999995,11226.9,142.39999999999998,0.0
"Clay County, Texas(7)",48077,450.5,2161.0000000000005,28820.800000000003,216.20000000000002,0.0
"Taylor County, Florida(6)",12123,450.5,99.4,4580.400000000001,139.9,0.0
"Laramie County, Wyoming(6)",56021,450.4,2234.0,101497.49999999999,433.8,0.0
"Cumberland County, Tennessee(6)",47035,450.3,100.6,19236.8,260.2,0.0
"Hardin County, Texas(7)",48199,450.2,39.2,1363.1999999999998,85.5,0.0
"Osceola County, Florida(6)",12097,450.2,2879.1000000000004,78980.4,333.5,0.0
"Cass County, Missouri(6)",29037,450.2,2595.0,167425.0,1932.0,0.0
"Braxton County, West Virginia(6)",54007,450.0,53.60000000000001,5677.9,5.8,0.0
"Gallatin County, Illinois(7)",17059,450.0,2136.3999999999996,157605.0,2318.6,0.0
"DeSoto County, Mississippi(6)",28033,450.0,6244.700000000002,105171.4,1970.0,0.0
"Warren County, North Carolina(6)",37185,450.0,1281.5000000000002,13318.8,518.0,0.0
"Auglaize County, Ohio(6)",39011,449.9,1684.5,138807.1,1568.2,0.0
"Jefferson County, West Virginia(6)",54037,449.9,373.7,52310.999999999985,1041.8,0.0
"Matagorda County, Texas(7)",48321,449.9,31269.9,209370.59999999998,623.9,0.0
"Victoria County, Texas(7)",48469,449.8,16179.8,155391.90000000002,389.70000000000005,0.0
"Potter County, Pennsylvania(6)",42105,449.8,386.29999999999995,11597.699999999999,321.5,0.0
"Greene County, Ohio(6)",39057,449.7,2439.6,240050.40000000002,2193.7999999999997,0.0
"Webster County, Mississippi(6)",28155,449.7,7079.4,31855.5,378.2,0.0
"Mecklenburg County, North Carolina(6)",37119,449.7,184.0,3910.2000000000003,128.9,0.0
"Newaygo County, Michigan(6)",26123,449.5,1542.9,55129.399999999994,2413.2000000000003,0.0
"Pender County, North Carolina(6)",37141,449.4,1831.6,47889.2,1055.6999999999998,0.0
"Red Willow County, Nebraska(6)",31145,449.4,12983.999999999998,425770.50000000006,2354.6,0.0
"York County, South Carolina(6)",45091,449.3,758.9000000000001,13423.6,217.79999999999998,0.0
"Clayton County, Iowa(7)",19043,449.3,3038.7999999999993,233865.2,3636.6,0.0
"Putnam County, Ohio(6)",39137,449.3,2127.3999999999996,221852.10000000003,3190.3,0.0
"Missaukee County, Michigan(6)",26113,449.2,460.30000000000007,3074.3,169.90000000000003,0.0
"Carroll County, Ohio(6)",39019,449.2,1554.2,26244.600000000002,280.59999999999997,0.0
"Newport County, Rhode Island(6)",44005,449.2,103.79999999999998,1692.0,10.399999999999999,0.0
"Monongalia County, West Virginia(6)",54061,449.1,101.39999999999999,839.8,8.4,0.0
"Taylor County, Iowa(7)",19173,449.0,2053.1000000000004,204074.3,1969.6,0.0
"Bell County, Kentucky(7)",21013,449.0,19.8,424.1,1.8,0.0
"Le Flore County, Oklahoma(6)",40079,449.0,457.09999999999997,18159.199999999997,356.3,0.0
"Clearwater County, Idaho(7)",16035,448.9,389.3,8756.4,993.0999999999999,0.0
