County,FIPS,Cancer Incidence Rate Per 100k,Breast Cancer Incidence Rate Per 100k,Leukemia Incidence Rate Per 100k,Lung Cancer Incidence Rate Per 100k,Non-Hodgkin Lymphoma Incidence Rate Per 100k,Prostate Cancer Incidence Rate Per 100k,Insecticide Sum,Herbicide Sum,Fungicide Sum
"Douglas County, Georgia(7)",13097,468.1,125.2,13.7,65.5,18.1,112.2,50.89999999999999,286.20000000000005,40.00000000000001
"Rockland County, New York(7)",36087,468.1,125.2,13.7,65.5,18.1,112.2,87.7,59.4,27.999999999999996
"Scott County, Kentucky(7)",21209,468.1,125.2,13.7,65.5,18.1,112.2,217.70000000000005,12468.800000000003,158.6
"Jo Daviess County, Illinois(7)",17085,468.1,125.2,13.7,65.5,18.1,112.2,1748.6,200452.3,1733.6000000000001
"Hopkins County, Texas(7)",48223,468.0,125.2,13.6,65.5,18.1,112.2,233.80000000000004,16530.9,130.9
"Madison County, Nebraska(6)",31119,467.9,125.2,13.6,65.5,18.1,112.2,2765.7000000000003,329121.9,6197.900000000001
"Osage County, Missouri(6)",29151,467.9,125.2,13.6,65.5,18.1,112.2,1104.4000000000003,21217.3,308.0
"Jones County, Iowa(7)",19105,467.9,125.1,13.6,65.5,18.1,112.1,2623.1,326016.30000000005,3200.3999999999996
"Fayette County, Illinois(7)",17051,467.9,125.1,13.6,65.5,18.1,112.1,1949.6999999999998,342500.89999999997,4141.4
"Bradford County, Florida(6)",12007,467.7,125.1,13.6,65.5,18.1,112.1,1756.0,9383.6,221.79999999999995
"Sampson County, North Carolina(6)",37163,467.6,125.1,13.6,65.5,18.1,112.1,14089.599999999995,212890.0,5796.500000000001
"Gratiot County, Michigan(6)",26057,467.6,125.1,13.6,65.5,18.1,112.1,4093.8,126767.99999999999,6816.8
"Putnam County, Georgia(7)",13237,467.6,125.1,13.6,65.4,18.1,112.1,647.7,5773.999999999999,124.3
"Defiance County, Ohio(6)",39039,467.5,125.0,13.6,65.4,18.1,112.1,929.5999999999998,126128.59999999999,2054.2
"McCulloch County, Texas(7)",48307,467.3,125.0,13.6,65.4,18.1,112.1,1382.7999999999997,36835.5,420.5
"Alexander County, North Carolina(6)",37003,467.3,125.0,13.6,65.3,18.1,112.1,592.0,12334.2,222.49999999999997
"St. Clair County, Illinois(7)",17163,467.3,125.0,13.6,65.3,18.0,112.1,7027.6,458680.4,8319.8
"Bedford County, Pennsylvania(6)",42009,467.3,125.0,13.6,65.3,18.0,112.1,2785.7000000000003,63920.7,921.4999999999999
"Fond du Lac County, Wisconsin(6)",55039,467.2,125.0,13.6,65.3,18.0,112.0,2850.1,165778.60000000003,1507.8999999999999
"Louisa County, Iowa(7)",19115,467.1,125.0,13.6,65.3,18.0,112.0,2452.1000000000004,268659.0,2634.8999999999996
