AREA_FIPS_CODE,"2,4-D",ACEPHATE,ACETAMIPRID,ACETOCHLOR,ATRAZINE,AZOXYSTROBIN,BENTAZONE,BENZOVINDIFLUPYR,BOSCALID,BROMACIL,BROMOXYNIL,CARBARYL,CHLORANTRANILIPROLE,CHLORIMURON,CHLORPYRIFOS,CLOTHIANIDIN,CYANTRANILIPROLE,CYPRODINIL,DIAZINON,DICAMBA,DICROTOPHOS,DIFLUBENZURON,DIMETHENAMID,DIMETHENAMID & DIMETHENAMID-P,DIMETHENAMID-P,DIMETHOATE,DIMETHOMORPH,DINOTEFURAN,DIURON,ETHOPROPHOS,ETOXAZOLE,FIPRONIL,FLUOMETURON,FLUOPICOLIDE,GLYPHOSATE,HALOSULFURON,HEXAZINONE,IMAZETHAPYR,IMIDACLOPRID,LINURON,MALATHION,METALAXYL,METCONAZOLE,METHOMYL,METHOXYFENOZIDE,METOLACHLOR,METOLACHLOR & METOLACHLOR-S,METOLACHLOR-S,METRIBUZIN,MYCLOBUTANIL,ORYZALIN,PERMETHRIN,PIPERONYL BUTOXIDE,PROPAZINE,PROPICONAZOLE,PYRACLOSTROBIN,PYRIMETHANIL,SIMAZINE,SULFENTRAZONE,SULFOXAFLOR,TEBUCONAZOLE,TEBUPIRIMPHOS,TEBUTHIURON,TERBUFOS,TETRACONAZOLE,THIAMETHOXAM,THIOBENCARB,TRICLOPYR,TRIFLOXYSTROBIN,Grand Total
38057,5650,,,2049.2,877.2,119.1,1415.5,1.6,222.5,,3319.4,213.6,,2.1,1790.4,,,,,4038.1,,,,365.7,365.7,,,,,,,,,,52408.7,18.4,,17,,,,,56.5,,,356.3,4702.9,4346.6,200.8,,,24.8,,,2949,210.4,,,2347.9,,1120.1,,,,25.3,19,,15.3,91.5,89340.6
38059,22966.6,,,4703.6,4136.4,416.2,905.6,79.6,101.9,,8735.1,451.5,,10.9,4473.1,,,,,9830.2,,,,4960,4960,,,,,,,,,,145390.6,4.8,,56.3,,,,,140.1,,,2543.8,7480.6,4936.8,536.5,,,,,,5172.7,361.5,,,2638.3,,3829.6,71.6,,,61.4,3.3,,2246.7,396.6,242601.9
38061,13192.2,,,875.5,551,117.6,1367.5,,2086.4,,13143.6,,,16.7,2572.1,,,,,4585.9,,,,486,486,,,,,,,,,,153615.1,59.8,,109.4,,,,,121.2,,,114.8,4959.4,4844.6,792.2,,,,,,2181.4,1192.5,,,1396.4,,729.5,,,,79.5,23.3,,19.5,386.2,210105.3
38063,4108.8,,,877.1,1986.5,375.3,11183.5,37.8,1065.2,,14584.1,402.1,,9.6,4157.1,50.4,12.7,,,7886.4,,,,4405.9,4405.9,,,,,,,,,,119256.7,12.7,,72.8,24.3,,,,665.8,,,6272.7,13896,7623.3,2139.1,,,,,,2693.6,906,,,1914.7,,2986.8,30.6,,,75.8,40.8,,1.8,280,214441.9
38065,4603.9,,,1491.1,621.1,128.2,1396.4,1.1,206.7,,2553.6,169,,5.8,1379.9,,,,,5602.3,,,,349.3,349.3,,,,,,,,,,48202.1,14.1,,44,,,,,42.3,,,766.3,4061,3294.6,344.8,,,16.2,,,2391,197,,,1237.1,,878.1,,,,32.1,20.1,,8.4,79.3,80486.2
38067,5681.8,,,1065.5,2458,2748,30476.7,41.1,2827.8,,22399.2,647.6,,9.9,11122.7,50.4,12.7,,,8048.8,,,,5675.7,5675.7,,,,,,,,,,184388.6,30.1,,96.8,24.3,,,,1079.8,,,6624.9,26181.1,19556.3,2314.9,,,,,,5578.7,3768.3,,,2243.1,,5458.4,37.9,,8918.8,155,41.2,,1.1,405.5,365846.4
38069,2852.7,,,3677.9,2109.4,276.6,14090.5,34.8,3566,,1599.7,9.9,,18.8,1865.1,,,,,13262.7,,,,1418,1418,,,,,,,,,,192056,3.8,,228.6,,,,,11.8,,,4094.2,11133.8,7039.6,1855.8,,,,,,396.8,1462.8,,,5550.5,,485.8,27.1,,,62.5,8.8,,4.2,127.5,270749.7
38071,4865.2,,,1747.2,4104.8,478.9,3827,59.3,411.9,,19025.8,491.3,,13.5,4582.3,,,,,11252.8,,,,8544.3,8544.3,,,,,,,,,,180292.4,7.3,,89.1,,,,,810.4,,,9208.7,13481.5,4272.8,2758.4,,,,,,3350.9,907.8,,,2542.7,,3145.4,63.3,,,106.7,13.3,,0.6,362.8,289362.7
38073,8936.3,,,2808.5,2231.4,289.6,1207.6,34,312.9,,1809.2,69.9,,10.9,2419.8,,,,,10502.6,,,,2514,2514,,,,,,,,,,43797.9,28.9,,94.4,,,,,15.4,,,4646.4,31520.8,26874.4,2212.5,,,,,,793.6,284.3,,,7345.9,,1226.9,12,,,106.3,89.8,,496.2,35.1,155241.5
38075,10050.1,,,60.4,136.7,91.5,1425.8,,1043.2,,9838.3,,,25.6,1181.1,,,,,3430.2,,,,387.2,387.2,,,,,,,,,,149636.6,29.9,,161.2,,,,,87.5,,,7.9,4143.8,4135.9,1115.1,,,,,,1824,1016.9,,,1790.3,,508.2,,,,97.4,26,,1.3,280.8,192920.1
38077,20221.7,,,73823.5,61770.4,1823.2,2175.1,108.3,755.4,,4388.4,132.8,,28.6,6280,,,,,28825.7,,,,34981.4,34981.4,,,,,,,,,,268203.7,24.2,,241.6,,,,,38.3,,,18827.7,117832,99004.3,5820.4,,,,,,2378.9,1926.9,,,19205.1,,2392.6,342,,2926.1,441.6,187.3,,128.1,544.9,810761.6
38079,3722.1,,,1817.8,1058.2,228.4,6459.2,18.6,1587.8,,16011.7,287.3,,10.4,2544.2,29.7,7.5,,,10675.7,,,,790.4,790.4,,,,,,,,,,153903.8,1.7,,126.1,14.4,,,,88.1,,,2228.7,6001.4,3772.7,1109.5,,,,,,723.4,827.7,,,2926.7,,4476.9,12.9,,,51.1,23.5,,3.4,151.6,222483
38081,10890.9,,,28586.4,25737.9,526.1,980.9,48.5,366.4,,1557.5,39.2,,14.1,2819.2,,,,,14136.7,,,,13588.5,13588.5,,,,,,,,,,107006.6,7.2,,118.6,,,,,12.6,,,8713.6,44806,36092.4,2930,,,,,,590.3,399.4,,,9438.4,,792.3,142.2,,,166.7,110.5,,143.1,227.6,324578.3
38083,11421.2,,,8549.5,4074.8,433.5,3510.4,34.6,313,,12236.8,510.6,,17.8,4120.3,29.7,7.5,,,7865.2,,,,1917.9,1917.9,,,,,,,,,,61099.6,34.7,,430.8,14.4,,,,1470,,,3902,9050.4,5148.4,1358.3,,,,,,5889.9,615.6,,,3229.8,,5959.5,31.1,,109.2,98.5,27,,486,51.9,155967.8
38085,7349.6,,,328.8,320.2,70.7,158.3,14.8,19.7,,2102.4,107,,2.3,1522.8,,,,,1281.1,,,,487.7,487.7,,,,,,,,,,34775.5,,,11.7,,,,,34.3,,,364.8,2408.9,2044.1,190.2,,,,,,1296.1,79.8,,,1481.5,,919.9,4.5,,,13.5,19.1,,1264.7,125.4,59287.1
